overall_rank,plan,challenge_strategy,challenge_source_variant_name,challenge_leverage_factor,funded_strategy,funded_source_variant_name,funded_leverage_factor,run_count,pass_rate,first_attempt_pass_rate,avg_days_to_pass,avg_resets,avg_payouts,at_least_one_payout_rate,avg_profit_post_pass,avg_profit_post_pass_all_cycles,avg_subscription_cost_usd,avg_reset_cost_usd,avg_activation_fee_usd,total_cost,net_profit,expected_net_profit_per_cycle,expected_days_per_cycle,expected_net_profit_per_day,plan_rank
12,no_activation_fee,nominal_x1.5,nominal,1.5,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,10,1.0,0.2,34.8,3.5,4.4,1.0,3164.9400000000023,3164.9400000000023,126.44000000000001,381.5,0.0,507.93999999999994,3892.06,3892.06,76.3,51.00996068152032,6
13,standard,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,10,1.0,0.7,20.0,0.6,4.0,0.9,3784.0,3784.0,32.66666666666667,29.4,149.0,211.0666666666667,3788.933333333333,3788.933333333333,74.8,50.65418894830659,7
14,standard,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,10,1.0,0.6,26.9,0.5,3.2,0.8,1808.6399999999987,1808.6399999999987,43.93666666666666,24.5,149.0,217.43666666666667,2982.563333333333,2982.563333333333,61.3,48.65519303969548,8
15,standard,nominal_x1.5,nominal,1.5,nominal,nominal,1.0,10,1.0,0.3,36.3,3.3,4.2,1.0,2848.1,2848.1,59.290000000000006,161.7,149.0,369.98999999999995,3830.0100000000007,3830.0100000000007,79.5,48.17622641509435,9
16,no_activation_fee,nominal_x1.8,nominal,1.8,nominal,nominal,1.0,10,1.0,0.1,18.5,4.2,3.0,0.6,1508.8,1508.8,67.21666666666667,457.8,0.0,525.0166666666667,2474.983333333333,2474.983333333333,52.7,46.96363061353573,7
17,no_activation_fee,nominal_x1.5,nominal,1.5,nominal,nominal,1.0,10,1.0,0.3,24.3,3.2,2.7,0.6,1089.85,1089.85,88.29,348.8,0.0,437.09000000000003,2262.9100000000003,2262.9100000000003,50.9,44.45795677799608,8
18,no_activation_fee,nominal_x1.8,nominal,1.8,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,10,1.0,0.0,32.7,6.4,3.9,0.8,2608.1400000000044,2608.1400000000044,118.80999999999999,697.6,0.0,816.41,3083.59,3083.59,73.1,42.18317373461013,9
19,no_activation_fee,nominal_x1.8,nominal,1.8,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,10,1.0,0.1,20.6,3.0,3.0,0.9,1889.4,1889.4,74.84666666666666,327.0,0.0,401.8466666666667,2598.153333333333,2598.153333333333,65.0,39.97158974358974,10
20,no_activation_fee,nominal,nominal,1.0,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,10,1.0,0.5,33.3,0.8,3.0,0.8,2246.45,2246.45,120.98999999999998,87.2,0.0,208.19,2791.81,2791.81,80.4,34.72400497512437,11
21,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,10,1.0,0.5,31.4,0.8,2.4,0.7,765.1200000000033,765.1200000000033,51.28666666666667,39.2,149.0,239.48666666666668,2160.5133333333333,2160.5133333333333,66.9,32.29466865969108,10
22,standard,nominal_x1.8,nominal,1.8,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,10,1.0,0.1,19.0,3.2,2.3,0.7,1481.2,1481.2,31.03333333333334,156.8,149.0,336.8333333333333,1963.1666666666667,1963.1666666666667,62.7,31.310473152578414,11
23,standard,nominal,nominal,1.0,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,10,1.0,0.6,33.2,0.8,2.4,0.9,968.8,968.8,54.22666666666667,39.2,149.0,242.42666666666665,2157.5733333333337,2157.5733333333337,71.9,30.007974038015767,12
24,no_activation_fee,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,10,1.0,0.5,37.1,0.9,2.1,0.7,591.5400000000009,591.5400000000009,134.79666666666662,98.1,0.0,232.89666666666668,1867.1033333333332,1867.1033333333332,77.8,23.998757497857756,12
