overall_rank,plan,challenge_strategy,challenge_source_variant_name,challenge_leverage_factor,funded_strategy,funded_source_variant_name,funded_leverage_factor,run_count,pass_rate,first_attempt_pass_rate,avg_days_to_pass,avg_resets,avg_payouts,at_least_one_payout_rate,avg_profit_post_pass,avg_profit_post_pass_all_cycles,avg_subscription_cost_usd,avg_reset_cost_usd,avg_activation_fee_usd,total_cost,net_profit,expected_net_profit_per_cycle,expected_days_per_cycle,expected_net_profit_per_day,plan_rank
11,no_activation_fee,nominal,nominal,1.0,nominal,nominal,1.0,2000,1.0,0.538,35.8705,0.844,3.83,0.759,2367.56975,2367.56975,130.32948333333331,91.996,0.0,222.32548333333332,3607.6745166666665,3607.6745166666665,69.696,51.76300672444138,6
12,no_activation_fee,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2000,1.0,0.523,27.9065,0.904,3.7345,0.796,2594.4651000000017,2594.4651000000017,101.39361666666667,98.536,0.0,199.92961666666667,3534.570383333333,3534.570383333333,68.6845,51.460961109614736,7
13,standard,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2000,1.0,0.5125,28.259,0.94,3.801,0.806,2698.9776000000015,2698.9776000000015,46.15636666666667,46.06,149.0,241.21636666666666,3559.783633333334,3559.783633333334,69.9085,50.92061241956749,6
14,standard,nominal,nominal,1.0,nominal,nominal,1.0,2000,1.0,0.5415,36.1825,0.862,3.717,0.7595,2228.3815,2228.3815,59.09808333333333,42.238,149.0,250.3360833333333,3466.663916666667,3466.663916666667,69.654,49.76977512657805,7
15,no_activation_fee,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2000,1.0,0.558,34.149,0.771,3.8485,0.8155,2741.9571000000014,2741.9571000000014,124.0747,84.039,0.0,208.11370000000002,3640.3862999999997,3640.3862999999997,75.9505,47.93103797868348,8
16,standard,nominal_x1.8,nominal,1.8,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,2000,1.0,0.226,18.7285,3.3145,3.3735,0.8195,2583.64,2583.64,30.589883333333336,162.4105,149.0,342.0003833333334,3031.4996166666665,3031.4996166666665,66.332,45.70191787774629,8
17,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2000,1.0,0.53,36.566,0.8895,3.7375,0.8005,2589.2856000000015,2589.2856000000015,59.724466666666665,43.5855,149.0,252.30996666666667,3485.1900333333333,3485.1900333333333,77.558,44.936564033798355,9
18,no_activation_fee,nominal_x1.8,nominal,1.8,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,2000,1.0,0.2295,18.533,3.248,3.317,0.826,2491.529,2491.529,67.33656666666668,354.032,0.0,421.36856666666665,2895.6314333333335,2895.6314333333335,65.509,44.20203992326754,9
19,standard,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,2000,1.0,0.29,23.6675,2.508,3.4325,0.834,2651.14425,2651.14425,38.65691666666667,122.892,149.0,310.5489166666667,3121.951083333333,3121.951083333333,71.2695,43.80486860905904,10
20,no_activation_fee,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,2000,1.0,0.28,23.6925,2.4725,3.479,0.844,2677.82975,2677.82975,86.08275,269.5025,0.0,355.58525,3123.41475,3123.41475,71.627,43.606667178577915,10
21,no_activation_fee,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,2000,1.0,0.514,28.545,0.914,3.369,0.8115,2568.8695,2568.8695,103.7135,99.626,0.0,203.3395,3165.6605,3165.6605,75.235,42.0769655080747,11
22,standard,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,2000,1.0,0.515,28.3485,0.938,3.2945,0.8205,2450.7825,2450.7825,46.302550000000004,45.962,149.0,241.26454999999999,3053.23545,3053.23545,75.054,40.68051602845951,11
23,no_activation_fee,nominal,nominal,1.0,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,2000,1.0,0.537,36.2405,0.8555,3.517,0.827,2729.0845,2729.0845,131.67381666666665,93.2495,0.0,224.92331666666666,3292.0766833333337,3292.0766833333337,83.7575,39.304858470385746,12
24,standard,nominal,nominal,1.0,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,2000,1.0,0.522,36.55,0.8665,3.4495,0.8275,2637.4655,2637.4655,59.69833333333333,42.4585,149.0,251.1568333333333,3198.343166666667,3198.343166666667,83.8485,38.144309876344444,12
